0.063s	14.61psia	21.88°C	0.832LPM	1.143mg/s	3.360g

2217.494s	18.11psia	21.85°C	0.189LPM	0.324mg/s	4.095g

2217.554s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.095g

2217.614s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.095g

2217.674s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.095g

2217.734s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.095g

2217.794s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.095g

2217.855s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.095g

2217.915s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.095g

2217.975s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.095g

2218.036s	18.09psia	21.85°C	0.188LPM	0.322mg/s	4.095g

2218.096s	18.12psia	21.85°C	0.188LPM	0.320mg/s	4.095g

2218.157s	18.11psia	21.84°C	0.188LPM	0.322mg/s	4.095g

2218.217s	18.10psia	21.85°C	0.187LPM	0.320mg/s	4.095g

2218.277s	18.09psia	21.85°C	0.187LPM	0.320mg/s	4.095g

2218.337s	18.08psia	21.85°C	0.187LPM	0.320mg/s	4.095g

2218.397s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.095g

2218.457s	18.11psia	21.85°C	0.189LPM	0.322mg/s	4.095g

2218.517s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2218.577s	18.12psia	21.86°C	0.187LPM	0.319mg/s	4.096g

2218.637s	18.12psia	21.86°C	0.188LPM	0.321mg/s	4.096g

2218.698s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2218.758s	18.14psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2218.818s	18.10psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2218.878s	18.09psia	21.85°C	0.187LPM	0.319mg/s	4.096g

2218.938s	18.07psia	21.85°C	0.187LPM	0.319mg/s	4.096g

2218.998s	18.12psia	21.85°C	0.186LPM	0.319mg/s	4.096g

2219.058s	18.11psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2219.119s	18.09psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2219.179s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2219.239s	18.11psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2219.299s	18.09psia	21.85°C	0.189LPM	0.322mg/s	4.096g

2219.359s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2219.419s	18.10psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2219.479s	18.12psia	21.85°C	0.187LPM	0.321mg/s	4.096g

2219.539s	18.11psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2219.600s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2219.660s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2219.720s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2219.780s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2219.840s	18.10psia	21.86°C	0.188LPM	0.320mg/s	4.096g

2219.900s	18.12psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2219.961s	18.12psia	21.85°C	0.186LPM	0.318mg/s	4.096g

2220.021s	18.05psia	21.85°C	0.188LPM	0.320mg/s	4.096g

2220.081s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2220.141s	18.09psia	21.86°C	0.187LPM	0.320mg/s	4.096g

2220.202s	18.09psia	21.85°C	0.188LPM	0.320mg/s	4.096g

2220.273s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2220.333s	18.11psia	21.86°C	0.188LPM	0.320mg/s	4.096g

2220.393s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2220.461s	18.12psia	21.84°C	0.189LPM	0.322mg/s	4.096g

2220.521s	18.11psia	21.85°C	0.188LPM	0.320mg/s	4.096g

2220.581s	18.11psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2220.641s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2220.701s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2220.761s	18.12psia	21.84°C	0.188LPM	0.322mg/s	4.096g

2220.822s	18.11psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2220.881s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2220.943s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2221.004s	18.11psia	21.85°C	0.188LPM	0.320mg/s	4.096g

2221.064s	18.06psia	21.84°C	0.189LPM	0.321mg/s	4.096g

2221.124s	18.11psia	21.86°C	0.188LPM	0.322mg/s	4.096g

2221.184s	18.06psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2221.245s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2221.305s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2221.365s	18.12psia	21.84°C	0.188LPM	0.321mg/s	4.096g

2221.425s	18.12psia	21.85°C	0.188LPM	0.320mg/s	4.096g

2221.485s	18.12psia	21.85°C	0.187LPM	0.320mg/s	4.096g

2221.545s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2221.605s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.096g

2221.665s	18.11psia	21.84°C	0.188LPM	0.321mg/s	4.096g

2221.726s	18.05psia	21.85°C	0.189LPM	0.321mg/s	4.096g

2221.786s	18.09psia	21.85°C	0.189LPM	0.323mg/s	4.096g

2221.846s	18.11psia	21.85°C	0.189LPM	0.323mg/s	4.096g

2221.906s	18.09psia	21.86°C	0.188LPM	0.321mg/s	4.096g

2221.966s	18.12psia	21.84°C	0.188LPM	0.322mg/s	4.096g

2222.026s	18.10psia	21.85°C	0.189LPM	0.322mg/s	4.096g

2222.087s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.096g

2222.148s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.097g

2222.208s	18.09psia	21.86°C	0.188LPM	0.320mg/s	4.097g

2222.268s	18.11psia	21.84°C	0.189LPM	0.322mg/s	4.097g

2222.328s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.097g

2222.388s	18.11psia	21.85°C	0.189LPM	0.322mg/s	4.097g

2222.448s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.097g

2222.508s	18.10psia	21.85°C	0.188LPM	0.322mg/s	4.097g

2222.568s	18.09psia	21.84°C	0.188LPM	0.321mg/s	4.097g

2222.629s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.097g

2222.689s	18.11psia	21.86°C	0.188LPM	0.322mg/s	4.097g

2222.750s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.097g

2222.810s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.097g

2222.870s	18.11psia	21.85°C	0.188LPM	0.320mg/s	4.097g

2222.931s	18.07psia	21.85°C	0.188LPM	0.320mg/s	4.097g

2222.991s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.097g

2223.052s	18.11psia	21.85°C	0.188LPM	0.320mg/s	4.097g

2223.112s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.097g

2223.172s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.097g

2223.232s	18.15psia	21.86°C	0.188LPM	0.322mg/s	4.097g

2223.292s	18.11psia	21.86°C	0.188LPM	0.321mg/s	4.097g

2223.352s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.097g

2223.412s	18.07psia	21.85°C	0.188LPM	0.322mg/s	4.097g

2223.472s	18.10psia	21.86°C	0.188LPM	0.321mg/s	4.097g

2223.532s	18.11psia	21.85°C	0.189LPM	0.322mg/s	4.097g

2223.593s	18.10psia	21.85°C	0.188LPM	0.322mg/s	4.097g

2223.653s	18.11psia	21.86°C	0.188LPM	0.321mg/s	4.097g

2223.713s	18.09psia	21.85°C	0.188LPM	0.322mg/s	4.097g

2223.773s	18.09psia	21.86°C	0.188LPM	0.320mg/s	4.097g

2223.833s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.097g

2223.894s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.097g

2223.954s	18.09psia	21.85°C	0.187LPM	0.320mg/s	4.097g

2224.015s	18.12psia	21.85°C	0.189LPM	0.323mg/s	4.097g

2224.075s	18.06psia	21.86°C	0.188LPM	0.321mg/s	4.097g

2224.135s	18.09psia	21.85°C	0.187LPM	0.320mg/s	4.097g

2224.195s	18.10psia	21.86°C	0.188LPM	0.321mg/s	4.097g

2224.256s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.097g

2224.316s	18.08psia	21.85°C	0.189LPM	0.322mg/s	4.097g

2224.386s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.097g

2224.446s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.097g

2224.506s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.097g

2224.573s	18.11psia	21.86°C	0.188LPM	0.322mg/s	4.097g

2224.633s	18.11psia	21.85°C	0.188LPM	0.320mg/s	4.097g

2224.693s	18.11psia	21.86°C	0.188LPM	0.321mg/s	4.098g

2224.753s	18.06psia	21.85°C	0.188LPM	0.320mg/s	4.098g

2224.813s	18.06psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2224.874s	18.11psia	21.86°C	0.188LPM	0.320mg/s	4.098g

2224.934s	18.07psia	21.85°C	0.188LPM	0.320mg/s	4.098g

2224.994s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2225.054s	18.11psia	21.85°C	0.187LPM	0.320mg/s	4.098g

2225.114s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.098g

2225.174s	18.10psia	21.85°C	0.188LPM	0.320mg/s	4.098g

2225.235s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2225.295s	18.11psia	21.85°C	0.189LPM	0.323mg/s	4.098g

2225.356s	18.12psia	21.85°C	0.188LPM	0.320mg/s	4.098g

2225.416s	18.11psia	21.86°C	0.188LPM	0.321mg/s	4.098g

2225.476s	18.15psia	21.85°C	0.189LPM	0.323mg/s	4.098g

2225.536s	18.11psia	21.85°C	0.189LPM	0.323mg/s	4.098g

2225.596s	18.11psia	21.85°C	0.189LPM	0.322mg/s	4.098g

2225.656s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2225.717s	18.12psia	21.86°C	0.188LPM	0.322mg/s	4.098g

2225.777s	18.16psia	21.85°C	0.188LPM	0.322mg/s	4.098g

2225.837s	18.06psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2225.897s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.098g

2225.957s	18.10psia	21.85°C	0.189LPM	0.322mg/s	4.098g

2226.017s	18.09psia	21.85°C	0.188LPM	0.320mg/s	4.098g

2226.077s	18.11psia	21.86°C	0.188LPM	0.322mg/s	4.098g

2226.138s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2226.198s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2226.258s	18.11psia	21.85°C	0.189LPM	0.323mg/s	4.098g

2226.318s	18.10psia	21.86°C	0.188LPM	0.321mg/s	4.098g

2226.378s	18.14psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2226.438s	18.09psia	21.85°C	0.187LPM	0.320mg/s	4.098g

2226.498s	18.11psia	21.85°C	0.188LPM	0.320mg/s	4.098g

2226.559s	18.08psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2226.619s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2226.679s	18.11psia	21.86°C	0.188LPM	0.321mg/s	4.098g

2226.740s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2226.800s	18.11psia	21.85°C	0.188LPM	0.320mg/s	4.098g

2226.860s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2226.920s	18.11psia	21.86°C	0.188LPM	0.321mg/s	4.098g

2226.981s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.098g

2227.041s	18.08psia	21.86°C	0.188LPM	0.321mg/s	4.098g

2227.101s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.098g

2227.161s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2227.221s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.098g

2227.281s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2227.341s	18.07psia	21.86°C	0.188LPM	0.321mg/s	4.098g

2227.402s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2227.461s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2227.522s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2227.582s	18.10psia	21.86°C	0.188LPM	0.321mg/s	4.098g

2227.642s	18.08psia	21.86°C	0.188LPM	0.321mg/s	4.098g

2227.702s	18.09psia	21.86°C	0.188LPM	0.320mg/s	4.098g

2227.763s	18.13psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2227.824s	18.13psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2227.884s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2227.944s	18.09psia	21.86°C	0.188LPM	0.321mg/s	4.098g

2228.004s	18.06psia	21.85°C	0.188LPM	0.320mg/s	4.098g

2228.064s	18.08psia	21.85°C	0.188LPM	0.320mg/s	4.098g

2228.124s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2228.184s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.098g

2228.244s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.098g

2228.305s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2228.365s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2228.425s	18.09psia	21.86°C	0.188LPM	0.321mg/s	4.099g

2228.495s	18.11psia	21.84°C	0.187LPM	0.320mg/s	4.099g

2228.555s	18.12psia	21.86°C	0.188LPM	0.321mg/s	4.099g

2228.615s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2228.683s	18.12psia	21.85°C	0.188LPM	0.320mg/s	4.099g

2228.743s	18.12psia	21.86°C	0.188LPM	0.320mg/s	4.099g

2228.803s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2228.863s	18.10psia	21.85°C	0.188LPM	0.320mg/s	4.099g

2228.923s	18.11psia	21.85°C	0.188LPM	0.320mg/s	4.099g

2228.984s	18.11psia	21.84°C	0.189LPM	0.323mg/s	4.099g

2229.044s	18.08psia	21.86°C	0.188LPM	0.321mg/s	4.099g

2229.104s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2229.165s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2229.225s	18.07psia	21.85°C	0.188LPM	0.320mg/s	4.099g

2229.285s	18.12psia	21.85°C	0.188LPM	0.320mg/s	4.099g

2229.345s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2229.405s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2229.465s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2229.525s	18.12psia	21.86°C	0.188LPM	0.320mg/s	4.099g

2229.587s	18.11psia	21.85°C	0.189LPM	0.322mg/s	4.099g

2229.647s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.099g

2229.708s	18.08psia	21.85°C	0.188LPM	0.322mg/s	4.099g

2229.768s	18.09psia	21.86°C	0.188LPM	0.321mg/s	4.099g

2229.828s	18.09psia	21.85°C	0.189LPM	0.322mg/s	4.099g

2229.888s	18.06psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2229.949s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.099g

2230.010s	18.07psia	21.85°C	0.189LPM	0.322mg/s	4.099g

2230.070s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2230.130s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2230.190s	18.11psia	21.86°C	0.188LPM	0.322mg/s	4.099g

2230.250s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2230.310s	18.11psia	21.86°C	0.188LPM	0.322mg/s	4.099g

2230.370s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.099g

2230.430s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2230.491s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.099g

2230.552s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2230.612s	18.11psia	21.86°C	0.188LPM	0.320mg/s	4.099g

2230.672s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2230.732s	18.09psia	21.86°C	0.188LPM	0.322mg/s	4.099g

2230.792s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.099g

2230.852s	18.10psia	21.85°C	0.188LPM	0.322mg/s	4.099g

2230.912s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2230.972s	18.09psia	21.85°C	0.187LPM	0.320mg/s	4.099g

2231.033s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2231.093s	18.11psia	21.86°C	0.188LPM	0.322mg/s	4.099g

2231.153s	18.13psia	21.85°C	0.188LPM	0.322mg/s	4.099g

2231.213s	18.12psia	21.85°C	0.189LPM	0.322mg/s	4.099g

2231.273s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.099g

2231.333s	18.10psia	21.85°C	0.189LPM	0.322mg/s	4.099g

2231.393s	18.11psia	21.85°C	0.189LPM	0.322mg/s	4.100g

2231.454s	18.12psia	21.86°C	0.188LPM	0.321mg/s	4.100g

2231.514s	18.06psia	21.86°C	0.188LPM	0.321mg/s	4.100g

2231.574s	18.10psia	21.85°C	0.189LPM	0.322mg/s	4.100g

2231.634s	18.11psia	21.84°C	0.188LPM	0.321mg/s	4.100g

2231.694s	18.10psia	21.85°C	0.188LPM	0.322mg/s	4.100g

2231.754s	18.10psia	21.86°C	0.189LPM	0.323mg/s	4.100g

2231.815s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.100g

2231.876s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2231.936s	18.12psia	21.86°C	0.188LPM	0.321mg/s	4.100g

2231.996s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2232.056s	18.08psia	21.85°C	0.187LPM	0.320mg/s	4.100g

2232.116s	18.08psia	21.86°C	0.188LPM	0.321mg/s	4.100g

2232.177s	18.08psia	21.86°C	0.188LPM	0.321mg/s	4.100g

2232.237s	18.11psia	21.86°C	0.188LPM	0.322mg/s	4.100g

2232.297s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2232.358s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2232.418s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2232.478s	18.08psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2232.538s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2232.607s	18.11psia	21.85°C	0.189LPM	0.323mg/s	4.100g

2232.668s	18.05psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2232.728s	18.08psia	21.85°C	0.189LPM	0.322mg/s	4.100g

2232.795s	18.10psia	21.84°C	0.188LPM	0.321mg/s	4.100g

2232.855s	18.09psia	21.85°C	0.188LPM	0.320mg/s	4.100g

2232.915s	18.08psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2232.975s	18.12psia	21.85°C	0.189LPM	0.323mg/s	4.100g

2233.035s	18.06psia	21.86°C	0.188LPM	0.321mg/s	4.100g

2233.095s	18.13psia	21.84°C	0.188LPM	0.321mg/s	4.100g

2233.155s	18.12psia	21.85°C	0.189LPM	0.322mg/s	4.100g

2233.216s	18.06psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2233.276s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2233.336s	18.09psia	21.85°C	0.189LPM	0.322mg/s	4.100g

2233.396s	18.15psia	21.84°C	0.189LPM	0.322mg/s	4.100g

2233.456s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2233.517s	18.07psia	21.85°C	0.189LPM	0.322mg/s	4.100g

2233.577s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2233.638s	18.09psia	21.85°C	0.189LPM	0.323mg/s	4.100g

2233.698s	18.11psia	21.84°C	0.188LPM	0.322mg/s	4.100g

2233.758s	18.11psia	21.85°C	0.189LPM	0.322mg/s	4.100g

2233.818s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.100g

2233.878s	18.12psia	21.85°C	0.189LPM	0.322mg/s	4.100g

2233.938s	18.08psia	21.86°C	0.189LPM	0.322mg/s	4.100g

2233.998s	18.11psia	21.84°C	0.188LPM	0.322mg/s	4.100g

2234.058s	18.10psia	21.85°C	0.189LPM	0.323mg/s	4.100g

2234.119s	18.09psia	21.86°C	0.189LPM	0.323mg/s	4.100g

2234.179s	18.06psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2234.239s	18.11psia	21.86°C	0.188LPM	0.321mg/s	4.101g

2234.299s	18.12psia	21.85°C	0.189LPM	0.322mg/s	4.101g

2234.359s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2234.419s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2234.479s	18.07psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2234.540s	18.10psia	21.86°C	0.188LPM	0.321mg/s	4.101g

2234.600s	18.14psia	21.84°C	0.189LPM	0.322mg/s	4.101g

2234.661s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.101g

2234.721s	18.11psia	21.85°C	0.189LPM	0.322mg/s	4.101g

2234.781s	18.09psia	21.85°C	0.188LPM	0.320mg/s	4.101g

2234.841s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2234.901s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2234.962s	18.12psia	21.86°C	0.188LPM	0.321mg/s	4.101g

2235.022s	18.11psia	21.86°C	0.188LPM	0.321mg/s	4.101g

2235.082s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2235.142s	18.11psia	21.85°C	0.189LPM	0.323mg/s	4.101g

2235.202s	18.09psia	21.85°C	0.189LPM	0.323mg/s	4.101g

2235.262s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2235.322s	18.12psia	21.85°C	0.187LPM	0.320mg/s	4.101g

2235.382s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2235.443s	18.13psia	21.85°C	0.188LPM	0.322mg/s	4.101g

2235.503s	18.12psia	21.85°C	0.188LPM	0.320mg/s	4.101g

2235.564s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.101g

2235.624s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2235.684s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2235.745s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.101g

2235.805s	18.05psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2235.866s	18.09psia	21.85°C	0.188LPM	0.320mg/s	4.101g

2235.926s	18.11psia	21.85°C	0.188LPM	0.320mg/s	4.101g

2235.987s	18.08psia	21.86°C	0.188LPM	0.321mg/s	4.101g

2236.047s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2236.107s	18.10psia	21.85°C	0.188LPM	0.322mg/s	4.101g

2236.168s	18.08psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2236.228s	18.10psia	21.86°C	0.188LPM	0.320mg/s	4.101g

2236.289s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2236.349s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.101g

2236.409s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2236.469s	18.08psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2236.529s	18.08psia	21.86°C	0.189LPM	0.322mg/s	4.101g

2236.589s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2236.650s	18.04psia	21.85°C	0.189LPM	0.321mg/s	4.101g

2236.718s	18.12psia	21.84°C	0.189LPM	0.322mg/s	4.101g

2236.778s	18.06psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2236.839s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2236.906s	18.13psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2236.966s	18.11psia	21.85°C	0.189LPM	0.323mg/s	4.101g

2237.026s	18.09psia	21.86°C	0.188LPM	0.322mg/s	4.101g

2237.086s	18.08psia	21.85°C	0.189LPM	0.323mg/s	4.101g

2237.147s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.101g

2237.208s	18.11psia	21.85°C	0.189LPM	0.323mg/s	4.101g

2237.268s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.101g

2237.329s	18.09psia	21.85°C	0.188LPM	0.322mg/s	4.101g

2237.389s	18.07psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2237.449s	18.05psia	21.85°C	0.188LPM	0.321mg/s	4.101g

2237.509s	18.11psia	21.85°C	0.189LPM	0.322mg/s	4.101g

2237.569s	18.07psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2237.630s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2237.690s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2237.750s	18.12psia	21.85°C	0.188LPM	0.322mg/s	4.102g

2237.810s	18.12psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2237.871s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2237.931s	18.11psia	21.85°C	0.189LPM	0.322mg/s	4.102g

2237.991s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2238.052s	18.08psia	21.85°C	0.188LPM	0.322mg/s	4.102g

2238.113s	18.09psia	21.85°C	0.188LPM	0.322mg/s	4.102g

2238.173s	18.10psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2238.233s	18.11psia	21.85°C	0.188LPM	0.322mg/s	4.102g

2238.293s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2238.353s	18.11psia	21.85°C	0.188LPM	0.320mg/s	4.102g

2238.413s	18.06psia	21.85°C	0.188LPM	0.320mg/s	4.102g

2238.473s	18.11psia	21.86°C	0.188LPM	0.321mg/s	4.102g

2238.534s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2238.594s	18.09psia	21.86°C	0.187LPM	0.320mg/s	4.102g

2238.654s	18.08psia	21.86°C	0.188LPM	0.320mg/s	4.102g

2238.714s	18.09psia	21.85°C	0.188LPM	0.320mg/s	4.102g

2238.774s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2238.834s	18.08psia	21.86°C	0.188LPM	0.321mg/s	4.102g

2238.894s	18.11psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2238.954s	18.09psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2239.015s	18.07psia	21.85°C	0.188LPM	0.321mg/s	4.102g

2239.075s	18.09psia	21.86°C	0.188LPM	0.321mg/s	4.102g

